,id,name,cuisines,average_cost_for_two,price_range,extamblishment_type,timings,locality,locality_verbose,address,latitude,longitude,aggregate_rating,votes
31,18663619,SSUP,"Healthy Food, Continental, Fast Food, Salad, Beverages",700,2,Quick Bites,9 AM to 12 Midnight,Bandra East,"Bandra East, Mumbai","875/2/1/6A, Knowledge Planet, MHB Colony, Gandhinagar, Near MIG Park, Behind 54, Bandra East, Mumbai",72.8472270817,19.0585734167,4.1,189
32,36510,Manisha Chinese Corner,"Chinese, Seafood",500,2,Quick Bites,11 AM to 12 Midnight (Mon-Sun),Chembur,"Chembur, Mumbai","Near Satu's Sweets, Dr CG Road, Chembur Colony, Chembur, Mumbai",72.8946978226,19.0454713832,3.6,192
33,32416,Gopala's Veg Kitchen,"North Indian, Chinese, South Indian, Fast Food",600,2,Casual Dining,8 AM to 12 Midnight,Bhandup,"Bhandup, Mumbai","Laxmi Udyog Nagar, IND Colony, LBS Marg, Kanjurmarg West, Bhandup, Mumbai",72.9267549142,19.1309149475,4.0,1291
34,18753101,Ramesh Da Dhaba,North Indian,200,1,Dhaba,"11:30 AM to 4:30 PM, 7:30 PM to 12 Midnight",Sion,"Sion, Mumbai","Room 74, Building 2, Punjabi Colony, GTB Nagar, Sion, Mumbai",72.8637786582,19.0347992893,3.7,70
35,18545484,BusaGo,"Chinese, Asian, Thai, Vietnamese, Korean, Tibetan, Momos",1300,3,Casual Dining,"11:30 AM to 11:30 PM (Mon), 11:30 AM to 11 PM (Tue-Sun)","Oshiwara, Andheri West","Oshiwara, Andheri West, Mumbai","19, Link Plaza, Oshiwara Link Road, MHADA Colony, Oshiwara, Andheri West",72.8314566985,19.1486237086,4.0,966
36,18281057,The Punjabi's Kitchen,"North Indian, Chinese, Thai",950,2,Casual Dining,11:30 AM to 12:30 AM (Mon-Sun),Chakala,"Chakala, Mumbai","First Floor, Sanjay Appa Chambers, Charat Singh Colony, Har Gobind Ji Marg Road, Chakala, Mumbai",72.8634762391,19.1110982308,4.2,624
37,32833,Hotel Sanjay,"Chinese, North Indian, South Indian, Street Food, Beverages",500,2,Casual Dining,8:30 AM to 11 PM,Bandra East,"Bandra East, Mumbai","Collector Building Compound, Government Colony, Bandra East, Mumbai",72.8503350914,19.0607035917,3.7,127
38,16538463,Ayyappan Pure Veg,"South Indian, North Indian, Chinese",400,1,Casual Dining,7 AM to 12 Midnight (Mon-Sun),Chembur,"Chembur, Mumbai","Shop 72, Opposite Bhairav Medical, Shell Colony Road, Chembur, Mumbai",72.8958233446,19.0640290438,3.8,140
39,18334497,Satu's Sweets Snacks & Namkeen,"Mithai, Fast Food, Desserts, Street Food",200,1,Sweet Shop,"6:30am – 11:30pm (Mon-Sat),Closed (Sun)",Chembur,"Chembur, Mumbai","Dr CG Road, Chembur Colony, Chembur, Mumbai",72.8946706653,19.0455670939,3.8,88
40,18581986,Greenz,"Healthy Food, Salad",500,2,,10 AM to 12:30 AM,Lower Parel,"Lower Parel, Mumbai","C-27, First Floor, Madhavbhuvan Society, Behind Jai Hind Restaurant, Opposite Kamala City, Lower Parel, Mumbai Railway Colony, Lower Parel",72.8298389912,19.0020843357,2.7,117
41,18720945,Chef Kitchen,"Chinese, Fast Food",400,1,Quick Bites,11 AM to 11 PM,Sion,"Sion, Mumbai","Shop 554, 12 Punjabi Colony, JK Bhasin Marg, Guru Teg Bahadur Nagar, Sion, Mumbai",72.8648716584,19.0340009069,3.4,70
42,18665150,The FitBox Co.,"Healthy Food, Salad, Sandwich",400,1,,9 AM to 6:30 PM,Sion,"Sion, Mumbai","Room 9, T/70, Matunga Sindhi Colony, Shastri Lane, Near Little Angles High School, Sion West, Mumbai",72.8574439511,19.0337013936,3.7,73
43,18503483,Khadaad,Fast Food,300,1,Quick Bites,"10:30am – 10pm (Mon-Sat),5pm – 12midnight (Sun)",Mahim,"Mahim, Mumbai","Fisherman Colony, Near St. Xavier Collage S.L.Raheja Road, Mahim, Mumbai",72.8405517340,19.0453801093,3.7,84
44,18533597,230°Celsius,Roast Chicken,700,2,,"12midnight – 3am, 11am – 12midnight (Mon-Sun)",Chembur,"Chembur, Mumbai","Shop 3, Plot 12, Opposite Gangotry, Siddharth Colony Road, Chembur Naka, Chembur, Mumbai",72.8928230000,19.0555960000,4.1,136
45,40341,Golden Wave,"North Indian, Chinese, Continental",1700,3,Casual Dining,"7am – 10am, 12:30pm – 3:30pm, 7pm – 12midnight (Mon-Sun)",Santacruz East,"Santacruz East, Mumbai","112, Prabhat Colony, Near Reliance Energy, 2nd Road, Santacruz East, Mumbai",72.8450055420,19.0829797416,3.7,128
46,19038903,Toum,"Cafe, Arabian",600,2,Café,"Closed (Mon),5pm – 11:30pm (Tue, Wed, Fri, Sat, Sun), 12:30pm – 11:30pm (Thu)",Chembur,"Chembur, Mumbai","12/A, Chembur Colony, Choithram, Gidwani Road, Chembur East, Mumbai",72.8952205181,19.0457087584,4.0,92
47,18600518,Firdy's Parsi Bhonu,Parsi,500,2,,12noon – 10pm (Mon-Sun),Dadar East,"Dadar East, Mumbai","Dadar Parsi Colony, Gymkhana, Dadar Parsi Colony, Dr. Ambedkar Road, Dadar East, Mumbai",72.8503669426,19.0208636521,3.7,32
48,18657242,Pizza Caprina,"Pizza, Fast Food, Italian",600,2,Casual Dining,11 AM to 4 AM,4 Bungalows,"4 Bungalows, Mumbai","41-B, Sai Kanwal Complex, Indira Nagar Opposite, Indian Oil Colony, D.N Nagar, 4 Bungalows, Mumbai",72.8291526809,19.1272138872,3.8,460
49,18650153,Makani,"North Indian, Hyderabadi, Mughlai, Awadhi, Beverages",1300,3,Casual Dining,Mon-Sun (12 Noon to 12 Midnight),Bhandup,"Bhandup, Mumbai","Wing A, Lal Bahadur Shastri Road, GKW Colony, Bhandup, Mumbai",72.9329511523,19.1424493444,3.9,415
50,16529634,Vaishno Punjab,North Indian,350,1,Dhaba,"11:30 AM to 3 PM, 7:30 PM to 12 Midnight (Mon-Sun)",Chembur,"Chembur, Mumbai","Opposite Police Station, RC Marg, Chembur Colony, Chembur, Mumbai",72.8931736574,19.0453392262,3.7,110
51,18580291,Rolls Mania,"Rolls, Fast Food",300,1,Quick Bites,12 Noon to 11 PM,Chembur,"Chembur, Mumbai","Opposite Vaswani Book Depo, Dr.Choitram Gidwani RD, Chembur Colony, Chembur, Mumbai",72.8955215961,19.0457578814,3.5,121
52,44311,Hotel Mayur,North Indian,300,1,Casual Dining,"11 AM to 4 PM, 7 PM to 1 AM (Mon-Sun)",Chembur,"Chembur, Mumbai","Dr C.G Road, Chembur Colony, Mumbai, Chembur, Mumbai",72.8948269039,19.0455727985,3.7,89
53,18585706,AndaMental - The Express Takeaway,"North Indian, Rolls, Biryani",550,2,,11am – 3am (Mon-Sun),Near Andheri East Station,"Near Andheri East Station, Mumbai","Next To Aureole Hotel, Sir Mathuradas Vasanji Road, Parsi Colony, Bima Nagar, Near Andheri East Station, Mumbai",72.8536960000,19.1157640000,3.8,249
54,18431538,Varde's Foodland,"North Indian, Malwani",700,2,Casual Dining,"11 AM to 4 PM, 7 PM to 11 PM (Mon, Wed-Sun), Tue Closed",Bandra East,"Bandra East, Mumbai","66/2880, Beside 51 East Tower, MHB Colony, Gandhinagar, Bandra East, Mumbai",72.8492910415,19.0592183030,3.5,93
55,18446533,Brats Bar And Lounge,"Finger Food, Pizza, Italian",1200,3,Bar,"12midnight – 1:30am, 12noon – 12midnight (Mon-Sun)",Goregaon East,"Goregaon East, Mumbai","Emerald Club, Royal Palms, Aarey Colony, Goregaon East, Mumbai",72.8862508759,19.1556672187,4.2,396
56,17760267,Yummilicious,"Bakery, Desserts",300,1,Bakery,"11 AM to 9 PM (Tue-Sun), Mon Closed",Chandivali,"Chandivali, Mumbai","Shop 10, Building 12/C, Abhilasha CHS, MHADA Colony, Chandivali, Mumbai",72.8959560000,19.1115520000,3.9,187
57,43475,Cafe XO The Lounge Bar,"Continental, Seafood, Thai, North Indian, Chinese",800,2,Casual Dining,"12 Noon to 3:30 PM, 7 PM to 12 Midnight (Mon-Sun)",Chembur,"Chembur, Mumbai","1-3, Ground Floor, Sai Commercial Building, Deoshi Marg, Opposite Best Colony, Govandi East, Chembur, Mumbai",72.9144693911,19.0472569182,3.3,202
58,18467908,Ribbons & Balloons,"Bakery, Desserts, Fast Food",500,2,Bakery,9 AM to 10 PM,Bandra East,"Bandra East, Mumbai","Shop 63, Government Colony, Opposite Chetna College, Bandra East, Mumbai",72.8494650498,19.0619746486,3.7,48
59,18435646,AB3 - Akkad Bakkad Bombay Boo,"Fast Food, Pizza, Sandwich",300,1,Quick Bites,"2 PM to 12 Midnight (Mon, Wed, Thu, Fri, Sat, Sun), 2:9 PM to 12 Midnight (Tue)",Kandivali West,"Kandivali West, Mumbai","5, KK Meena Sudhar Marg, Kamala Nagar, Bhagat Colony, Kandivali West, Mumbai",72.8456626832,19.2051644148,4.1,1075
60,45721,Domino's Pizza,"Pizza, Fast Food",400,1,Quick Bites,10:57 AM to 12 Midnight,Malad West,"Malad West, Mumbai","6, Unity Heights, 22 Nadiadwala Colony, SV Road, Malad West, Mumbai",72.8466900000,19.1799400000,3.7,361
61,18591239,The Dining Room - Sher e Punjab Gymkhana,"North Indian, Chinese, Mughlai",750,2,Casual Dining,"7:30 AM to 3 PM, 7 PM to 11 PM",Mahakali,"Mahakali, Mumbai","Sher-e-Punjab Colony, Mahakali Caves Road, Near Tolani College, Mahakali, Mumbai",72.8632660000,19.1286593000,3.8,176
62,32597,Banjara Dhaba,"North Indian, Chinese, Mughlai",900,2,Casual Dining,"10:30 AM to 12:30 AM (Mon-Fri), 10:30 AM to 1 AM (Sat-Sun)",Borivali West,"Borivali West, Mumbai","Opposite Phillips Tower Building, Off Holy Cross Road, IC Colony, Borivali West, Mumbai",72.8490285203,19.2530691695,3.8,2483
63,18988035,Quba Pizza & More,"Pizza, Fast Food",200,1,Quick Bites,1 PM to 1 AM,Mahim,"Mahim, Mumbai","Ground Floor, Farida Appartment, Opposite BMC Colony, Mahim, Mumbai",72.8398228437,19.0399714090,3.5,49
64,18461576,Om Sai Dham,North Indian,300,1,Quick Bites,11 AM to 10 PM,Chembur,"Chembur, Mumbai","59/A, Ground Floor, Collector Colony, Near Bsp Bhavn Mahul Road, Chembur, Mumbai",72.8913199157,19.0436642780,3.8,99
65,18140685,Sai Sagar,"Desserts, Ice Cream",250,1,Dessert Parlour,5 PM to 12 Midnight (Mon-Sun),Chembur,"Chembur, Mumbai","20, Dr. C.G.Road, Chembur Colony, Chembur, Mumbai",72.8941563517,19.0456735800,3.9,97
66,41100,Punjab Express,"North Indian, Chinese",500,2,Quick Bites,"11:30 AM to 3:30 PM, 7 PM to 12 Midnight",Mahakali,"Mahakali, Mumbai","10, Kamlesh Apartment, Shere E Punjab Colony, Mahakali, Mumbai",72.8653272986,19.1298797740,3.4,180
67,42566,Bikaner,"Street Food, Mithai",200,1,Quick Bites,8:30 AM to 10 PM,Bandra East,"Bandra East, Mumbai","Collector Building Compound, Government Colony, Bandra East, Mumbai",72.8503287211,19.0606966200,3.4,48
68,16698064,McDonald's,"Burger, Fast Food",500,2,Quick Bites,7 AM to 1 AM,Malad West,"Malad West, Mumbai","Unity Heights, Nadiadwala Colony, S.V. Road, Near HP Petrol Pump, Malad West, Mumbai",72.8466698527,19.1795902296,4.0,253
69,18490903,A Pinch of Parsi,Parsi,700,2,,11:30 AM to 8:30 PM,Dadar East,"Dadar East, Mumbai","Building 801, Coover Villa, Jame-Jamshed Road, Dadar Parsi Colony, Dadar East, Mumbai",72.8459342569,19.0156706509,3.5,26
70,18728137,Spin City Kitchen & Bar,"Thai, Asian, Biryani, Chinese, Continental, North Indian, Italian, Desserts",700,2,Casual Dining,12 Noon to 1:30 AM,Borivali West,"Borivali West, Mumbai","2/2, Jayshree Akshay CHS Ltd, Near Model Bank IC Colony, Road 4, Borivali West, Mumbai",72.8467617184,19.2452577898,3.9,598
71,18563250,Sind Pani Puri House,Street Food,100,1,Quick Bites,4 PM to 10 PM,Chembur,"Chembur, Mumbai","Shop 13, Chembur Colony, Dr. Choitram Gidwani Road, Chembur, Mumbai",72.8953060135,19.0457328445,3.8,72
72,18075122,The Fusion Kitchen,"Mexican, Italian, North Indian, Chinese, European",1600,3,Casual Dining,12:30pm – 12:30am (Mon-Sun),Borivali West,"Borivali West, Mumbai","Shop 1, Opposite Veda Building, Near Bhavdevi Garage, Holy Cross Road, IC Colony, Off New Link Road, Borivali West, Mumbai",72.8490684181,19.2544947901,4.4,5162
73,18745546,Flavours Of China,"Chinese, Thai",800,2,Casual Dining,"12 Noon to 4 PM, 7 PM to 11:30 PM",Bandra East,"Bandra East, Mumbai","17, Sarkari Vasahat Plot Old, Government Colony, Opposite Chetana College, Bandra East, Mumbai",72.8494442627,19.0619698952,3.8,58
74,40839,G2's Corner,"Chinese, North Indian",500,2,Casual Dining,12 Noon to 1 AM,Chembur,"Chembur, Mumbai","Hotel Shreedevi Vijaya, Opposite Laxmi Colony, Marouli Church, Chembur, Mumbai",72.8942324594,19.0403304943,3.6,75
75,37228,Silver Coin,"Continental, North Indian, Chinese, Thai",1000,3,Casual Dining,"12 Noon to 4 PM, 6:30 PM to 12 Midnight",Borivali West,"Borivali West, Mumbai","IC Colony, Borivali West, Mumbai",72.8483090177,19.2455395098,3.8,534
76,18451037,NR Restaurant,"North Indian, Chinese",400,1,Quick Bites,12 Noon to 11:30 PM (Mon-Sun),Chembur,"Chembur, Mumbai","Opposite Building 07, Om Shanti, Near Vinay High School, Ramakrishna Chemburkar Marg, Vasi Naka, Chembur Colony, MMRDA Colony, Chembur, Mumbai",72.9022700000,19.0326650000,3.5,82
77,37222,Choi Kim Cuisine,"Chinese, Seafood",600,2,Casual Dining,"12 Noon to 3:30 PM, 7 PM to 11:30 PM (Mon-Sun)",Borivali West,"Borivali West, Mumbai","1 & 2, Mansi Enclave, IC Colony, Borivali West, Mumbai",72.8464411944,19.2451666263,3.7,810
78,18769657,Cafe Ville Villa,"Continental, Fast Food, Beverages",600,2,Casual Dining,"10am – 11:30pm (Mon-Thu),10am – 12:30AM (Fri-Sat),9am – 12:30AM (Sun)",Kandivali West,"Kandivali West, Mumbai","67/662, MHB Colony, Opposite Parijat Apartment, Near Profit Centre, Mahavir Nagar, Kandivali West, Mumbai",72.8393497691,19.2146284553,3.8,466
79,18605472,Mojo Pizza - 2X Toppings,"Pizza, Fast Food",600,2,,11 AM to 1 AM,Kandivali West,"Kandivali West, Mumbai","Unit 51/516, Shivneri CHS, MHB Colony, Opposite Vasant Complex, Link Road Touch, Kandivali West, Mumbai",72.8339692578,19.2153727771,4.1,421
80,17974906,Merwans Cake Stop,"Bakery, Fast Food, Desserts",400,1,Bakery,"10 AM to 9:30 PM (Mon-Wed, Fri-Sun), Thu Closed",Malad West,"Malad West, Mumbai","7A, Unity Heights, Opposite Rani Sati Nagar Bus Stop, Nadiadwala Colony, SV Road, Malad West, Mumbai",72.8468083218,19.1797707292,4.1,387
81,18793453,The Burger Pit,American,1200,3,Casual Dining,12 Noon to 12 Midnight,Borivali West,"Borivali West, Mumbai","Shop 3 & 4, Saffron Building, Shubhjivan Circle, IC Colony, Holy Cross Road, Borivali West, Mumbai",72.8485182300,19.2500149953,4.3,409
82,34588,Pangat,"North Indian, Chinese, Biryani, Malwani, Konkan, Seafood",700,2,Casual Dining,"11:30am – 3:30pm, 7pm – 11:30pm (Mon-Sun)",Dahisar East,"Dahisar East, Mumbai","Radhe Govind Apartment, Near ST Depot, Nancy Colony, Dahisar East, Mumbai",72.8648113087,19.2404507481,3.7,694
83,18613827,Chef Tush-R's College Days,Chinese,300,1,Quick Bites,12 Noon to 2 AM,Bandra East,"Bandra East, Mumbai","Shop 19, New Shopping Centre, Abasaheb Shinde Marg, Government Colony, Bandra East, Mumbai",72.8500698879,19.0621907685,3.4,75
84,18626149,The Herbiary,"Healthy Food, Juices, Sandwich, Salad, Wraps, Rolls",450,1,,10 AM to 12 Midnight,Goregaon East,"Goregaon East, Mumbai","86/646 MHB Colony, Next to Ganesh Temple, Dindoshi, Goregaon East, Mumbai",72.8598498926,19.1769419297,4.0,304
85,38585,Swagat,"North Indian, Chinese, South Indian, Mughlai",500,2,Casual Dining,"11 AM to 4 PM, 7 PM to 12 Midnight (Mon-Sun)",Sakinaka,"Sakinaka, Mumbai","3, Gadekar Colony, Ghatkopar Link Road, Behind Maharashtra Weight Bridge, Sakinaka, Mumbai",72.8883336112,19.1036175209,3.6,121
86,18488916,Pure Punjabi,"Chinese, North Indian",400,1,,"11:30 AM to 3:30 PM, 6:30 PM to 11:30 PM",Wadala,"Wadala, Mumbai","Shop 102, Buillding 1, Mhada Colony, Near Bhakti Park, Wadala, Mumbai",72.8582660481,19.0163093642,3.4,25
87,18634842,B - 103,"Asian, Chinese, Continental, Goan, Pizza, North Indian",1800,3,Bar,11 AM to 1:30 AM,Borivali West,"Borivali West, Mumbai","Shop 7/8, Saffron Building, IC Colony, Borivali West, Mumbai",72.8484686092,19.2500422169,4.0,676
88,41758,Desiree,"Bakery, Desserts",200,1,Bakery,10am – 8pm (Mon-Sun),"Reclamation, Bandra West","Reclamation, Bandra West, Mumbai","19, Santhal, ONGC Colony, Reclamation, Bandra West, Mumbai",72.8300156817,19.0498134895,3.7,48
89,18425979,Shaikh Shawarma and Grill,"Lebanese, Mughlai",450,1,Quick Bites,12 Noon to 1 AM,Mahakali,"Mahakali, Mumbai","17B, Shop 5, PMGP Mahada Colony, Ekta CHS, Near Poonam Nagar, Mahakali, Mumbai",72.8685184568,19.1345006269,3.7,224
90,35031,Domino's Pizza,"Pizza, Fast Food",400,1,Quick Bites,10:57 AM to 12 Midnight,Dahisar East,"Dahisar East, Mumbai","14, Ground Floor, Sadhana Palace Buliding, Maratha Colony, Dahisar East, Mumbai",72.8647355363,19.2565765410,2.5,557
91,39907,Hotel Jyoti,"Seafood, North Indian, Chinese, Malwani, Mughlai, Rolls",500,2,Casual Dining,"12Midnight to 12:30AM, 11AM to 4PM, 7PM to 12Midnight (Mon-Sun)",Goregaon East,"Goregaon East, Mumbai","Muncipal Colony, H 2 Ward, Santosh Nagar, AKV Marg, Goregaon East, Mumbai",72.8799463436,19.1722620962,3.7,357
92,18683436,Mad About Burgers,"Burger, Pizza, Fast Food",500,2,Quick Bites,"12:30 PM to 3:30 AM (Tue-Sun), Mon Closed",Borivali West,"Borivali West, Mumbai","Shop 12, Avirahi Homes, New Link Road, IC Colony, Near Sardar Vallabhbhai Patel college, Borivali West, Mumbai",72.8460475802,19.2501871878,4.3,653
